sample,extension,experiment
C2,,10cells
C6,,10cells
D21,,10cells
D22,,10cells
E7,,10cells
E8,,10cells
F7,,10cells
H3,,10cells
A7C10,,12MDAs
A7C12,,12MDAs
A7C7,.5,12MDAs
A7C7,.6,12MDAs
B4C10,,12MDAs
B4C11,,12MDAs
B4C6,.5,12MDAs
B4C6,.6,12MDAs
G6E5,.5,12MDAs
G6E5,.6,12MDAs
H2E2,.5,12MDAs
H2E2,.6,12MDAs
H2F12,,12MDAs
110,,P6808
111,,P6808
112,,P6808
113,,P6808
114,,P6808
118,,P6808
119,,P6808
120,,P6808
121,,P6808
134,,P6808
135,,P6808
136,,P6808
137,,P6808
138,,P6808
142,,P6808
143,,P6808
144,,P6808
145,,P6808
female_bulk,,bulks
